PlanningUnitID,PlanningUnitName,LTWPShortName,CompliancePoint/Node,Gauge,Code,StartMonth,EndMonth,TargetFrequency,TargetFrequencyMin,TargetFrequencyMax,EventsPerYear,Duration,MinSpell,FlowThresholdMin_100,FlowThresholdMin_100,FlowThresholdMax,MaxInter-event,WithinEventGapTolerance,WeirpoolGauge,FlowLevelVolume,LevelThresholdMin,LevelThresholdMax,VolumeThreshold,DrawdownRate,AccumulationPeriod,Multigauge,MaxSpell,TriggerDay,TriggerMonth,DrawDownRateWeek,MaxLevelRise,AnnualFlowSum,AnnualBarrageFlow,ThreeYearsBarrageFlow,HighReleaseWindowStart,HighReleaseWindowEnd,LowReleaseWindowStart,LowReleaseWindowEnd,PeakLevelWindowStart,PeakLevelWindowEnd,LowLevelWindowStart,LowLevelWindowEnd,NonFlowSpell,EggsDaysSpell,LarvaeDaysSpell,MinLevelRise,RateOfRiseMax1,RateOfRiseMax2,RateOfFallMin,RateOfRiseThreshold1,RateOfRiseThreshold2,RateOfRiseRiverLevel,RateOfFallRiverLevel,CtfThreshold,GaugeType,State,Catchment_BPRegion,SWSDLName,Latitude,Longitude,Env_obj
SS300006,Kiewa river reach 6 - Yackandandah Creek,Kiewa FLOWs study 2008,,402204,F4,7,11,17,,,1,1,1,1904,1904,,,,,F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F,Vic,Kiewa,Kiewa,,,V-F4a
SS300006,Kiewa river reach 6 - Yackandandah Creek,Kiewa FLOWs study 2008,,402204,F5,9,10,20,,,1,1,1,1904,1904,,,,,F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F,Vic,Kiewa,Kiewa,,,V-V1c
SS300006,Kiewa river reach 6 - Yackandandah Creek,Kiewa FLOWs study 2008,,402204,F6,7,6,100,,,3,3,3,259,259,,,,,F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F,Vic,Kiewa,Kiewa,,,V-P3
SS300006,Kiewa river reach 6 - Yackandandah Creek,Kiewa FLOWs study 2008,,402204,F7,7,6,100,,,4,2,2,350,350,,,,,F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F,Vic,Kiewa,Kiewa,,,V-P2+V-P5
SS300006,Kiewa river reach 6 - Yackandandah Creek,Kiewa FLOWs study 2008,,402204,F8,7,6,100,,,1,1,1,1904,1904,,,,,F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F,Vic,Kiewa,Kiewa,,,V-P6
SS400001,Lower Ovens reach 1,Lower Ovens FLOWs Study (2024),,403220,BF1,12,5,100,,,1,182,1,70,56,,,,,F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F,Vic,Ovens,Ovens,,,V-G6+V-F1+V-V1+V-V3+V-V10+V-M2+V-MM1
SS400001,Lower Ovens reach 1,Lower Ovens FLOWs Study (2024),,403220,F1,12,5,100,,,2,3,3,430,430,,,,,F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F,Vic,Ovens,Ovens,,,V-F1+V-V1+V-V3+V-V4+V-M2+V-MM1
SS400001,Lower Ovens reach 1,Lower Ovens FLOWs Study (2024),,403220,BF2,6,11,100,,,1,183,1,130,104,,,,,F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F,Vic,Ovens,Ovens,,,V-G6+V-V1+V-V3+V-V4+V-V10+V-M2
SS400001,Lower Ovens reach 1,Lower Ovens FLOWs Study (2024),,403220,F2,6,11,100,,,1,1,1,5000,5000,,,,,F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F,Vic,Ovens,Ovens,,,V-G1+V-G2+V-G5+V-V1+V-V3+V-V4+V-M2+V-MM1
SS400001,Lower Ovens reach 1,Lower Ovens FLOWs Study (2024),,403220,BK1,7,6,100,,,1,1,1,8500,8500,,,,,F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F,Vic,Ovens,Ovens,,,V-G1+V-G2+V-G5+V-V1+V-V3+V-V4+V-V10+V-M2
