planning_unit_name,gauge,ewr_code,ewr_code_timing,state,LTWPShortName,env_obj,Target,SWSDLName
Eastern Macquarie Marshes,421090,BF2,BF2_a,NSW,Macquarie-Castlereagh,EF1,Priority ecosystem function,Macquarie-Castlereagh
Eastern Macquarie Marshes,421090,BF2,BF2_b,NSW,Macquarie-Castlereagh,EF1,Priority ecosystem function,Macquarie-Castlereagh
Eastern Macquarie Marshes,421090,BF3,BF3,NSW,Macquarie-Castlereagh,EF1,Priority ecosystem function,Macquarie-Castlereagh
Eastern Macquarie Marshes,421090,DSF,DSF,NSW,Macquarie-Castlereagh,EF1,Priority ecosystem function,Macquarie-Castlereagh
Eastern Macquarie Marshes,421090,SF1,SF1_P,NSW,Macquarie-Castlereagh,EF1,Priority ecosystem function,Macquarie-Castlereagh
Eastern Macquarie Marshes,421090,SF1,SF1_S,NSW,Macquarie-Castlereagh,EF1,Priority ecosystem function,Macquarie-Castlereagh
Eastern Macquarie Marshes,421090,CF,CF_b,NSW,Macquarie-Castlereagh,EF1,Priority ecosystem function,Macquarie-Castlereagh
Eastern Macquarie Marshes,421090,VF,VF_b,NSW,Macquarie-Castlereagh,EF1,Priority ecosystem function,Macquarie-Castlereagh
Northern Macquarie Marshes,421022,CF,CF_a,NSW,Macquarie-Castlereagh,EF1,Priority ecosystem function,Macquarie-Castlereagh
Northern Macquarie Marshes,421022,CF,CF_c,NSW,Macquarie-Castlereagh,EF1,Priority ecosystem function,Macquarie-Castlereagh
Northern Macquarie Marshes,421022,VF,VF_a,NSW,Macquarie-Castlereagh,EF1,Priority ecosystem function,Macquarie-Castlereagh
Northern Macquarie Marshes,421022,BF1,BF1_a,NSW,Macquarie-Castlereagh,EF1,Priority ecosystem function,Macquarie-Castlereagh
Northern Macquarie Marshes,421022,BF1,BF1_b,NSW,Macquarie-Castlereagh,EF1,Priority ecosystem function,Macquarie-Castlereagh
Northern Macquarie Marshes,421022,BF2,BF2_a,NSW,Macquarie-Castlereagh,EF1,Priority ecosystem function,Macquarie-Castlereagh
Northern Macquarie Marshes,421022,BF2,BF2_b,NSW,Macquarie-Castlereagh,EF1,Priority ecosystem function,Macquarie-Castlereagh
Northern Macquarie Marshes,421022,BF3,BF3,NSW,Macquarie-Castlereagh,EF1,Priority ecosystem function,Macquarie-Castlereagh
Northern Macquarie Marshes,421022,DSF,DSF,NSW,Macquarie-Castlereagh,EF1,Priority ecosystem function,Macquarie-Castlereagh
Northern Macquarie Marshes,421022,SF1,SF1_P,NSW,Macquarie-Castlereagh,EF1,Priority ecosystem function,Macquarie-Castlereagh
Northern Macquarie Marshes,421022,SF1,SF1_S,NSW,Macquarie-Castlereagh,EF1,Priority ecosystem function,Macquarie-Castlereagh
Northern Macquarie Marshes,421022,CF,CF_b,NSW,Macquarie-Castlereagh,EF1,Priority ecosystem function,Macquarie-Castlereagh
Northern Macquarie Marshes,421022,VF,VF_b,NSW,Macquarie-Castlereagh,EF1,Priority ecosystem function,Macquarie-Castlereagh
Northern Macquarie Marshes,421090,CF,CF_a,NSW,Macquarie-Castlereagh,EF1,Priority ecosystem function,Macquarie-Castlereagh
Northern Macquarie Marshes,421090,CF,CF_c,NSW,Macquarie-Castlereagh,EF1,Priority ecosystem function,Macquarie-Castlereagh
Northern Macquarie Marshes,421090,VF,VF_a,NSW,Macquarie-Castlereagh,EF1,Priority ecosystem function,Macquarie-Castlereagh
Northern Macquarie Marshes,421090,BF1,BF1_a,NSW,Macquarie-Castlereagh,EF1,Priority ecosystem function,Macquarie-Castlereagh
Northern Macquarie Marshes,421090,BF1,BF1_b,NSW,Macquarie-Castlereagh,EF1,Priority ecosystem function,Macquarie-Castlereagh
Northern Macquarie Marshes,421090,BF2,BF2_a,NSW,Macquarie-Castlereagh,EF1,Priority ecosystem function,Macquarie-Castlereagh
Northern Macquarie Marshes,421090,BF2,BF2_b,NSW,Macquarie-Castlereagh,EF1,Priority ecosystem function,Macquarie-Castlereagh
Northern Macquarie Marshes,421090,BF3,BF3,NSW,Macquarie-Castlereagh,EF1,Priority ecosystem function,Macquarie-Castlereagh
Northern Macquarie Marshes,421090,DSF,DSF,NSW,Macquarie-Castlereagh,EF1,Priority ecosystem function,Macquarie-Castlereagh
Northern Macquarie Marshes,421090,SF1,SF1_P,NSW,Macquarie-Castlereagh,EF1,Priority ecosystem function,Macquarie-Castlereagh
Northern Macquarie Marshes,421090,SF1,SF1_S,NSW,Macquarie-Castlereagh,EF1,Priority ecosystem function,Macquarie-Castlereagh
Northern Macquarie Marshes,421090,CF,CF_b,NSW,Macquarie-Castlereagh,EF1,Priority ecosystem function,Macquarie-Castlereagh
Northern Macquarie Marshes,421090,VF,VF_b,NSW,Macquarie-Castlereagh,EF1,Priority ecosystem function,Macquarie-Castlereagh
Northern Macquarie Marshes,421090,OB-WS1,OB-WS1_P,NSW,Macquarie-Castlereagh,EF1,Priority ecosystem function,Macquarie-Castlereagh
Northern Macquarie Marshes,421090,OB-WS1,OB-WS1_S,NSW,Macquarie-Castlereagh,EF1,Priority ecosystem function,Macquarie-Castlereagh
Northern Macquarie Marshes,421090,OB-WS4,OB-WS4_P,NSW,Macquarie-Castlereagh,EF1,Priority ecosystem function,Macquarie-Castlereagh
Northern Macquarie Marshes,421090,OB-WS4,OB-WS4_S,NSW,Macquarie-Castlereagh,EF1,Priority ecosystem function,Macquarie-Castlereagh
Edward River - Stevens Weir to Wakool River,409003,OB3,OB3,NSW,Murray Lower Darling,EF1,Priority ecosystem function,New South Wales Murray
Edward River - Stevens Weir to Wakool River,409003,OB4,OB4,NSW,Murray Lower Darling,EF1,Priority ecosystem function,New South Wales Murray
Murray River - Hume to Yarrawonga,409017,VF,VF,NSW,Murray Lower Darling,EF1,Priority ecosystem function,New South Wales Murray
Murray River - Hume to Yarrawonga,409017,BF1,BF1_a,NSW,Murray Lower Darling,EF1,Priority ecosystem function,New South Wales Murray
Murray River - Hume to Yarrawonga,409017,BF1,BF1_b,NSW,Murray Lower Darling,EF1,Priority ecosystem function,New South Wales Murray
Murray River - Hume to Yarrawonga,409017,SF1,SF1_S,NSW,Murray Lower Darling,EF1,Priority ecosystem function,New South Wales Murray
Murray River - Hume to Yarrawonga,409017,SF1,SF1_P,NSW,Murray Lower Darling,EF1,Priority ecosystem function,New South Wales Murray
Murray River - Hume to Yarrawonga,409017,SF2,SF2,NSW,Murray Lower Darling,EF1,Priority ecosystem function,New South Wales Murray
Murray River - Hume to Yarrawonga,409017,LF1,LF1_P,NSW,Murray Lower Darling,EF1,Priority ecosystem function,New South Wales Murray
Murray River - Hume to Yarrawonga,409017,LF1,LF1_S,NSW,Murray Lower Darling,EF1,Priority ecosystem function,New South Wales Murray
Murray River - Hume to Yarrawonga,409017,LF2,LF2,NSW,Murray Lower Darling,EF1,Priority ecosystem function,New South Wales Murray
Murray River - Hume to Yarrawonga,409017,LF3,LF3,NSW,Murray Lower Darling,EF1,Priority ecosystem function,New South Wales Murray
