water_year,Barwon-Darling,Border Rivers,Campaspe,Condamine-Balonne,Eastern Mt Lofty Ranges,Goulburn-Broken,Gwydir,Lachlan,Loddon,Lower Darling,Macquarie-Castlereagh,Moonie,Murray,Murrumbidgee,Namoi,Ovens,Paroo,Warrego,Wimmera-Avoca,Northern Basin ,Southern Basin ,Total MDB
1982,Moderate,Wet,Very Dry,Very Wet,Very Dry,Very Dry,Moderate,Very Dry,Dry,Dry,Dry,Very Wet,Very Dry,Very Dry,Moderate,Very Dry,Wet,Wet,Dry,Wet,Very Dry,Moderate
1983,Very Wet,Very Wet,Very Wet,Wet,Moderate,Moderate,Very Wet,Wet,Very Wet,Very Wet,Wet,Very Wet,Moderate,Wet,Very Wet,Moderate,Wet,Moderate,Very Wet,Wet,Wet,Wet
1984,Wet,Wet,Moderate,Moderate,Moderate,Moderate,Moderate,Moderate,Moderate,Moderate,Moderate,Wet,Moderate,Moderate,Moderate,Moderate,Moderate,Moderate,Moderate,Moderate,Moderate,Moderate
1985,Moderate,Moderate,Moderate,Dry,Dry,Moderate,Moderate,Moderate,Moderate,Moderate,Moderate,Moderate,Moderate,Moderate,Moderate,Dry,Moderate,Moderate,Moderate,Moderate,Moderate,Moderate
1986,Moderate,Moderate,Wet,Dry,Wet,Wet,Moderate,Moderate,Wet,Moderate,Moderate,Dry,Wet,Moderate,Moderate,Wet,Moderate,Moderate,Wet,Moderate,Wet,Moderate
1987,Moderate,Very Wet,Moderate,Wet,Moderate,Moderate,Moderate,Moderate,Moderate,Moderate,Moderate,Wet,Moderate,Moderate,Moderate,Moderate,Moderate,Dry,Moderate,Moderate,Moderate,Moderate
1988,Wet,Moderate,Wet,Moderate,Moderate,Wet,Moderate,Wet,Wet,Very Wet,Wet,Moderate,Moderate,Very Wet,Wet,Wet,Moderate,Moderate,Wet,Moderate,Wet,Wet
1989,Wet,Moderate,Wet,Very Wet,Moderate,Wet,Moderate,Wet,Moderate,Moderate,Very Wet,Wet,Moderate,Wet,Wet,Moderate,Very Wet,Very Wet,Moderate,Very Wet,Moderate,Very Wet
1990,Moderate,Moderate,Moderate,Moderate,Moderate,Wet,Wet,Very Wet,Moderate,Moderate,Wet,Moderate,Wet,Wet,Wet,Wet,Wet,Moderate,Moderate,Moderate,Wet,Wet
1991,Wet,Moderate,Moderate,Moderate,Moderate,Moderate,Moderate,Wet,Moderate,Moderate,Wet,Dry,Moderate,Wet,Wet,Moderate,Moderate,Moderate,Wet,Moderate,Moderate,Moderate
1992,Very Wet,Dry,Very Wet,Dry,Very Wet,Very Wet,Moderate,Wet,Very Wet,Very Wet,Moderate,Dry,Very Wet,Wet,Moderate,Very Wet,Wet,Moderate,Very Wet,Moderate,Very Wet,Wet
1993,Wet,Moderate,Very Wet,Moderate,Moderate,Very Wet,Moderate,Wet,Very Wet,Very Wet,Moderate,Moderate,Wet,Wet,Moderate,Very Wet,Moderate,Moderate,Wet,Moderate,Very Wet,Moderate
1994,Wet,Dry,Moderate,Moderate,Dry,Moderate,Moderate,Moderate,Moderate,Moderate,Moderate,Moderate,Moderate,Moderate,Moderate,Moderate,Wet,Moderate,Moderate,Moderate,Moderate,Moderate
1995,Moderate,Very Wet,Wet,Wet,Moderate,Moderate,Wet,Moderate,Wet,Moderate,Moderate,Wet,Wet,Moderate,Moderate,Moderate,Moderate,Moderate,Wet,Wet,Moderate,Moderate
1996,Moderate,Wet,Wet,Moderate,Wet,Wet,Wet,Moderate,Wet,Moderate,Moderate,Moderate,Wet,Moderate,Wet,Wet,Moderate,Very Wet,Wet,Wet,Moderate,Wet
1997,Moderate,Moderate,Dry,Moderate,Moderate,Very Dry,Moderate,Moderate,Moderate,Moderate,Moderate,Moderate,Very Dry,Dry,Moderate,Very Dry,Moderate,Moderate,Moderate,Moderate,Very Dry,Dry
1998,Moderate,Very Wet,Dry,Wet,Moderate,Moderate,Very Wet,Wet,Moderate,Dry,Very Wet,Wet,Moderate,Moderate,Very Wet,Moderate,Moderate,Moderate,Moderate,Very Wet,Moderate,Wet
1999,Very Wet,Moderate,Moderate,Moderate,Moderate,Dry,Moderate,Moderate,Moderate,Very Wet,Wet,Moderate,Moderate,Moderate,Moderate,Moderate,Wet,Moderate,Dry,Moderate,Moderate,Moderate
2000,Very Wet,Wet,Moderate,Moderate,Moderate,Moderate,Very Wet,Moderate,Moderate,Moderate,Wet,Moderate,Wet,Moderate,Wet,Moderate,Wet,Moderate,Dry,Wet,Moderate,Moderate
2001,Moderate,Moderate,Dry,Moderate,Moderate,Dry,Moderate,Moderate,Dry,Dry,Moderate,Moderate,Moderate,Moderate,Moderate,Dry,Moderate,Moderate,Dry,Moderate,Moderate,Moderate
2002,Dry,Very Dry,Very Dry,Dry,Very Dry,Very Dry,Moderate,Dry,Very Dry,Dry,Moderate,Moderate,Very Dry,Very Dry,Dry,Very Dry,Very Dry,Moderate,Dry,Dry,Very Dry,Very Dry
2003,Moderate,Wet,Dry,Moderate,Moderate,Moderate,Wet,Very Dry,Very Dry,Moderate,Moderate,Moderate,Dry,Dry,Moderate,Moderate,Moderate,Moderate,Very Dry,Moderate,Dry,Moderate
2004,Moderate,Moderate,Moderate,Dry,Moderate,Moderate,Wet,Very Dry,Dry,Dry,Dry,Moderate,Dry,Dry,Wet,Moderate,Dry,Moderate,Very Dry,Moderate,Dry,Dry
2005,Moderate,Moderate,Very Dry,Very Dry,Wet,Moderate,Moderate,Dry,Very Dry,Moderate,Moderate,Dry,Moderate,Dry,Moderate,Moderate,Very Dry,Dry,Very Dry,Moderate,Moderate,Dry
