Year,eventYears,numAchieved,numEvents,numEventsAll,eventLength,eventLengthAchieved,totalEventDays,totalEventDaysAchieved,maxEventDays,maxRollingEvents,maxRollingAchievement,missingDays,totalPossibleDays,ewrCode,scenario,gauge,pu,State,SWSDLName,Multigauge,rollingMaxInterEvent,rollingMaxInterEventAchieved
2018,1.0,1.0,2.0,4.0,14.0,58.0,28.0,58.0,22.0,22.0,1.0,0.0,365.0,F2_S_sd,NCCMA_flow,407224,Loddon River: Mid Loddon River System at Reach 4a,VIC,Loddon,,336,0
2019,1.0,2.0,4.0,4.0,9.5,30.0,38.0,30.0,17.0,17.0,1.0,0.0,366.0,F2_S_sd,NCCMA_flow,407224,Loddon River: Mid Loddon River System at Reach 4a,VIC,Loddon,,291,0
2020,1.0,1.0,3.0,2.0,17.6,14.0,88.0,28.0,53.0,53.0,1.0,0.0,365.0,F2_S_sd,NCCMA_flow,407224,Loddon River: Mid Loddon River System at Reach 4a,VIC,Loddon,,273,0
2021,0.0,0.0,1.0,4.0,92.0,9.5,92.0,38.0,92.0,92.0,1.0,0.0,365.0,F2_S_sd,NCCMA_flow,407224,Loddon River: Mid Loddon River System at Reach 4a,VIC,Loddon,,273,0
2022,1.0,1.0,2.0,5.0,29.666666666666668,28.333333333333332,89.0,85.0,52.0,52.0,1.0,0.0,365.0,F2_S_sd,NCCMA_flow,407224,Loddon River: Mid Loddon River System at Reach 4a,VIC,Loddon,,273,0
2023,1.0,1.0,2.0,1.0,45.5,92.0,91.0,92.0,65.0,65.0,1.0,0.0,366.0,F2_S_sd,NCCMA_flow,407224,Loddon River: Mid Loddon River System at Reach 4a,VIC,Loddon,,274,0
2014,1.0,1.0,2.0,3.0,14.666666666666666,43.5,44.0,87.0,30.0,30.0,1.0,0.0,365.0,F2_S_sd,NCCMA_flow,407224,Loddon River: Mid Loddon River System at Reach 4a,VIC,Loddon,,284,0
2015,0.0,0.0,0.0,2.0,1.5,45.5,3.0,91.0,2.0,2.0,0.0,1.0,366.0,F2_S_sd,NCCMA_flow,407224,Loddon River: Mid Loddon River System at Reach 4a,VIC,Loddon,,396,0
2024,,,,,,,,,,,,,,F2_S_sd,NCCMA_flow,407224,Loddon River: Mid Loddon River System at Reach 4a,VIC,Loddon,,0,1
2016,1.0,1.0,1.0,0.0,9.0,0.0,9.0,0.0,9.0,9.0,1.0,0.0,365.0,LF1,NCCMA_flow,407224,Loddon River: Mid Loddon River System at Reach 4a,VIC,Loddon,,1012,1
2017,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26.0,365.0,LF1,NCCMA_flow,407224,Loddon River: Mid Loddon River System at Reach 4a,VIC,Loddon,,440,1
2018,0.0,0.0,0.0,1.0,0.0,9.0,0.0,9.0,0.0,0.0,0.0,0.0,365.0,LF1,NCCMA_flow,407224,Loddon River: Mid Loddon River System at Reach 4a,VIC,Loddon,,805,1
2019,0.0,0.0,0.0,0.0,2.0,0.0,4.0,0.0,3.0,3.0,0.0,0.0,366.0,LF1,NCCMA_flow,407224,Loddon River: Mid Loddon River System at Reach 4a,VIC,Loddon,,1171,1
2020,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,365.0,LF1,NCCMA_flow,407224,Loddon River: Mid Loddon River System at Reach 4a,VIC,Loddon,,1536,0
