Scenario,Gauge,PlanningUnit,State,SWSDLName,EwrCode,Multigauge,EventYears,Frequency,TargetFrequency,AchievementCount,AchievementPerYear,EventCount,EventCountAll,EventsPerYear,EventsPerYearAll,AverageEventLength,ThresholdDays,MaxInterEventYears,NoDataDays,TotalDays
NCCMA_flow,406207,Campaspe River at Reach 2,VIC,Campaspe,F1_b_S,,5.0,50,70,5.0,0.5,5.0,17.0,0.5,1.7,36.7,1684.0,0,245.0,3653.0
NCCMA_flow,406207,Campaspe River at Reach 2,VIC,Campaspe,F1_c_P,,0.0,0,100,0.0,0.0,0.0,0.0,0.0,0.0,36.7,0.0,0,245.0,3653.0
NCCMA_flow,406207,Campaspe River at Reach 2,VIC,Campaspe,F1_c_S,,0.0,0,100,0.0,0.0,0.0,0.0,0.0,0.0,49.3125,0.0,0,245.0,3653.0
NCCMA_flow,406207,Campaspe River at Reach 2,VIC,Campaspe,F2_a_P_pd,,4.0,40,30,4.0,0.4,11.0,12.0,1.1,1.2,8.666666666666666,104.0,0,245.0,3653.0
NCCMA_flow,406207,Campaspe River at Reach 2,VIC,Campaspe,F2_a_P_sd,,4.0,40,30,4.0,0.4,11.0,12.0,1.1,1.2,8.666666666666666,104.0,0,245.0,3653.0
NCCMA_flow,406207,Campaspe River at Reach 2,VIC,Campaspe,F2_a_S_pd,,6.0,60,30,6.0,0.6,16.0,18.0,1.6,1.8,12.944444444444445,233.0,0,245.0,3653.0
NCCMA_flow,406207,Campaspe River at Reach 2,VIC,Campaspe,F2_a_S_sd,,7.0,70,30,7.0,0.7,18.0,18.0,1.8,1.8,12.944444444444445,233.0,0,245.0,3653.0
NCCMA_flow,406207,Campaspe River at Reach 2,VIC,Campaspe,F2_b_P_pd,,6.0,60,70,6.0,0.6,16.0,18.0,1.6,1.8,12.944444444444445,233.0,0,245.0,3653.0
NCCMA_flow,406207,Campaspe River at Reach 2,VIC,Campaspe,F2_b_P_sd,,7.0,70,70,7.0,0.7,18.0,18.0,1.8,1.8,12.944444444444445,233.0,0,245.0,3653.0
NCCMA_flow,406207,Campaspe River at Reach 2,VIC,Campaspe,F2_b_S_pd,,7.0,70,70,9.0,0.9,24.0,26.0,2.4,2.6,20.653846153846153,537.0,0,245.0,3653.0
NCCMA_flow,406207,Campaspe River at Reach 2,VIC,Campaspe,F2_b_S_sd,,7.0,70,70,9.0,0.9,25.0,26.0,2.5,2.6,20.653846153846153,537.0,0,245.0,3653.0
NCCMA_flow,406207,Campaspe River at Reach 2,VIC,Campaspe,F2_c_P_pd,,7.0,70,100,9.0,0.9,24.0,26.0,2.4,2.6,20.653846153846153,537.0,0,245.0,3653.0
NCCMA_flow,406207,Campaspe River at Reach 2,VIC,Campaspe,F2_c_P_sd,,7.0,70,100,9.0,0.9,25.0,26.0,2.5,2.6,20.653846153846153,537.0,0,245.0,3653.0
NCCMA_flow,406207,Campaspe River at Reach 2,VIC,Campaspe,F2_c_S_pd,,4.0,40,100,5.0,0.5,16.0,16.0,1.6,1.6,47.6875,763.0,0,245.0,3653.0
NCCMA_flow,406207,Campaspe River at Reach 2,VIC,Campaspe,F2_c_S_sd,,4.0,40,100,5.0,0.5,16.0,16.0,1.6,1.6,47.6875,763.0,0,245.0,3653.0
NCCMA_flow,406207,Campaspe River at Reach 2,VIC,Campaspe,LF1_P_pd,,0.0,0,40,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4,245.0,3653.0
NCCMA_flow,406207,Campaspe River at Reach 2,VIC,Campaspe,LF1_P_sd,,0.0,0,40,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4,245.0,3653.0
