scenario,gauge,pu,ewr,waterYear,startDate,endDate,eventDuration,eventLength,State,SWSDLName,Multigauge
CW_416011_flow_level,416011,Reedy Creek Water Source,SF1_P,1982,1983-02-18,1983-02-28,11,11,NSW,NSW Border Rivers,
CW_416011_flow_level,416011,Reedy Creek Water Source,SF1_P,1983,1983-10-01,1984-04-01,184,184,NSW,NSW Border Rivers,
CW_416011_flow_level,416011,Reedy Creek Water Source,SF1_P,1983,1984-04-09,1984-04-19,11,11,NSW,NSW Border Rivers,
CW_416011_flow_level,416011,Reedy Creek Water Source,SF1_P,1983,1984-04-21,1984-04-30,10,10,NSW,NSW Border Rivers,
CW_416011_flow_level,416011,Reedy Creek Water Source,SF1_P,1984,1984-11-27,1984-12-19,23,23,NSW,NSW Border Rivers,
CW_416011_flow_level,416011,Reedy Creek Water Source,SF1_P,1984,1984-12-24,1985-02-01,40,40,NSW,NSW Border Rivers,
CW_416011_flow_level,416011,Reedy Creek Water Source,SF1_P,1984,1985-02-11,1985-02-21,11,11,NSW,NSW Border Rivers,
CW_416011_flow_level,416011,Reedy Creek Water Source,SF1_P,1985,1985-11-21,1985-12-21,31,31,NSW,NSW Border Rivers,
CW_416011_flow_level,416011,Reedy Creek Water Source,SF1_P,1986,1986-12-12,1987-01-13,33,33,NSW,NSW Border Rivers,
CW_416011_flow_level,416011,Reedy Creek Water Source,SF1_P,1986,1987-01-24,1987-02-05,13,13,NSW,NSW Border Rivers,
CW_416011_flow_level,416011,Reedy Creek Water Source,SF1_P,1987,1987-12-11,1987-12-28,18,18,NSW,NSW Border Rivers,
CW_416011_flow_level,416011,Reedy Creek Water Source,SF1_P,1987,1987-12-31,1988-03-08,69,69,NSW,NSW Border Rivers,
CW_416011_flow_level,416011,Reedy Creek Water Source,SF1_P,1987,1988-04-02,1988-04-30,29,29,NSW,NSW Border Rivers,
CW_416011_flow_level,416011,Reedy Creek Water Source,SF1_P,1988,1988-10-01,1988-10-16,16,16,NSW,NSW Border Rivers,
CW_416011_flow_level,416011,Reedy Creek Water Source,SF1_P,1988,1988-11-27,1989-02-07,73,73,NSW,NSW Border Rivers,
CW_416011_flow_level,416011,Reedy Creek Water Source,SF1_P,1988,1989-02-10,1989-02-27,18,18,NSW,NSW Border Rivers,
CW_416011_flow_level,416011,Reedy Creek Water Source,SF1_P,1988,1989-03-28,1989-04-30,34,34,NSW,NSW Border Rivers,
CW_416011_flow_level,416011,Reedy Creek Water Source,SF1_P,1989,1989-11-07,1989-11-29,23,23,NSW,NSW Border Rivers,
CW_416011_flow_level,416011,Reedy Creek Water Source,SF1_P,1989,1989-12-06,1990-02-01,58,58,NSW,NSW Border Rivers,
CW_416011_flow_level,416011,Reedy Creek Water Source,SF1_P,1989,1990-02-03,1990-03-03,29,29,NSW,NSW Border Rivers,
CW_416011_flow_level,416011,Reedy Creek Water Source,SF1_P,1989,1990-03-09,1990-03-18,10,10,NSW,NSW Border Rivers,
CW_416011_flow_level,416011,Reedy Creek Water Source,SF1_P,1989,1990-04-20,1990-04-30,11,11,NSW,NSW Border Rivers,
CW_416011_flow_level,416011,Reedy Creek Water Source,SF1_P,1990,1990-11-16,1990-12-05,20,20,NSW,NSW Border Rivers,
CW_416011_flow_level,416011,Reedy Creek Water Source,SF1_P,1990,1990-12-20,1991-01-01,13,13,NSW,NSW Border Rivers,
CW_416011_flow_level,416011,Reedy Creek Water Source,SF1_P,1990,1991-01-13,1991-02-04,23,23,NSW,NSW Border Rivers,
CW_416011_flow_level,416011,Reedy Creek Water Source,SF1_P,1990,1991-02-08,1991-02-20,13,13,NSW,NSW Border Rivers,
CW_416011_flow_level,416011,Reedy Creek Water Source,SF1_P,1991,1991-11-25,1991-12-11,17,17,NSW,NSW Border Rivers,
CW_416011_flow_level,416011,Reedy Creek Water Source,SF1_P,1991,1992-01-01,1992-02-29,60,60,NSW,NSW Border Rivers,
CW_416011_flow_level,416011,Reedy Creek Water Source,SF1_P,1992,1992-11-14,1992-11-27,14,14,NSW,NSW Border Rivers,
CW_416011_flow_level,416011,Reedy Creek Water Source,SF1_P,1992,1992-12-06,1992-12-18,13,13,NSW,NSW Border Rivers,
CW_416011_flow_level,416011,Reedy Creek Water Source,SF1_P,1995,1995-12-31,1996-02-25,57,57,NSW,NSW Border Rivers,
CW_416011_flow_level,416011,Reedy Creek Water Source,SF1_P,1995,1996-03-01,1996-03-12,12,12,NSW,NSW Border Rivers,
CW_416011_flow_level,416011,Reedy Creek Water Source,SF1_P,1996,1996-10-01,1996-10-27,27,27,NSW,NSW Border Rivers,
CW_416011_flow_level,416011,Reedy Creek Water Source,SF1_P,1996,1996-11-26,1996-12-07,12,12,NSW,NSW Border Rivers,
CW_416011_flow_level,416011,Reedy Creek Water Source,SF1_P,1996,1996-12-09,1997-01-27,50,50,NSW,NSW Border Rivers,
CW_416011_flow_level,416011,Reedy Creek Water Source,SF1_P,1996,1997-02-10,1997-02-23,14,14,NSW,NSW Border Rivers,
CW_416011_flow_level,416011,Reedy Creek Water Source,SF1_P,1996,1997-02-27,1997-03-15,17,17,NSW,NSW Border Rivers,
CW_416011_flow_level,416011,Reedy Creek Water Source,SF1_P,1997,1997-11-05,1997-11-26,22,22,NSW,NSW Border Rivers,
CW_416011_flow_level,416011,Reedy Creek Water Source,SF1_P,1997,1998-01-18,1998-01-29,12,12,NSW,NSW Border Rivers,
CW_416011_flow_level,416011,Reedy Creek Water Source,SF1_P,1997,1998-01-31,1998-02-11,12,12,NSW,NSW Border Rivers,
CW_416011_flow_level,416011,Reedy Creek Water Source,SF1_P,1997,1998-02-20,1998-03-02,11,11,NSW,NSW Border Rivers,
CW_416011_flow_level,416011,Reedy Creek Water Source,SF1_P,1998,1998-10-07,1998-10-19,13,13,NSW,NSW Border Rivers,
CW_416011_flow_level,416011,Reedy Creek Water Source,SF1_P,1998,1998-10-27,1998-11-06,11,11,NSW,NSW Border Rivers,
CW_416011_flow_level,416011,Reedy Creek Water Source,SF1_P,1998,1998-12-09,1998-12-27,19,19,NSW,NSW Border Rivers,
CW_416011_flow_level,416011,Reedy Creek Water Source,SF1_P,1998,1999-01-20,1999-02-26,38,38,NSW,NSW Border Rivers,
CW_416011_flow_level,416011,Reedy Creek Water Source,SF1_P,1998,1999-03-04,1999-03-27,24,24,NSW,NSW Border Rivers,
CW_416011_flow_level,416011,Reedy Creek Water Source,SF1_P,1999,1999-10-25,1999-11-29,36,36,NSW,NSW Border Rivers,
CW_416011_flow_level,416011,Reedy Creek Water Source,SF1_P,1999,2000-01-13,2000-01-31,19,19,NSW,NSW Border Rivers,
CW_416011_flow_level,416011,Reedy Creek Water Source,SF1_P,2000,2000-11-17,2000-12-05,19,19,NSW,NSW Border Rivers,
CW_416011_flow_level,416011,Reedy Creek Water Source,SF1_P,2000,2000-12-31,2001-02-24,56,56,NSW,NSW Border Rivers,
CW_416011_flow_level,416011,Reedy Creek Water Source,SF1_P,2000,2001-03-10,2001-04-06,28,28,NSW,NSW Border Rivers,
CW_416011_flow_level,416011,Reedy Creek Water Source,SF1_P,2001,2001-11-25,2001-12-06,12,12,NSW,NSW Border Rivers,
CW_416011_flow_level,416011,Reedy Creek Water Source,SF1_P,2002,2002-12-02,2002-12-11,10,10,NSW,NSW Border Rivers,
CW_416011_flow_level,416011,Reedy Creek Water Source,SF1_P,2003,2003-10-03,2003-10-13,11,11,NSW,NSW Border Rivers,
CW_416011_flow_level,416011,Reedy Creek Water Source,SF1_P,2003,2004-01-16,2004-02-11,27,27,NSW,NSW Border Rivers,
CW_416011_flow_level,416011,Reedy Creek Water Source,SF1_P,2004,2004-12-26,2005-01-05,11,11,NSW,NSW Border Rivers,
CW_416011_flow_level,416011,Reedy Creek Water Source,SF1_P,2006,2006-11-05,2006-11-15,11,11,NSW,NSW Border Rivers,
CW_416011_flow_level,416011,Reedy Creek Water Source,SF1_P,2006,2007-01-15,2007-01-31,17,17,NSW,NSW Border Rivers,
CW_416011_flow_level,416011,Reedy Creek Water Source,SF1_P,2007,2008-01-06,2008-01-19,14,14,NSW,NSW Border Rivers,
CW_416011_flow_level,416011,Reedy Creek Water Source,SF1_P,2007,2008-01-26,2008-02-04,10,10,NSW,NSW Border Rivers,
CW_416011_flow_level,416011,Reedy Creek Water Source,SF1_P,2007,2008-02-06,2008-02-21,16,16,NSW,NSW Border Rivers,
CW_416011_flow_level,416011,Reedy Creek Water Source,SF1_P,2008,2008-12-07,2008-12-17,11,11,NSW,NSW Border Rivers,
CW_416011_flow_level,416011,Reedy Creek Water Source,SF1_P,2008,2008-12-27,2009-01-06,11,11,NSW,NSW Border Rivers,
CW_416011_flow_level,416011,Reedy Creek Water Source,SF1_P,2009,2009-12-08,2009-12-21,14,14,NSW,NSW Border Rivers,
CW_416011_flow_level,416011,Reedy Creek Water Source,SF1_P,2009,2009-12-25,2010-01-05,12,12,NSW,NSW Border Rivers,
CW_416011_flow_level,416011,Reedy Creek Water Source,SF1_P,2010,2010-10-01,2011-02-11,134,134,NSW,NSW Border Rivers,
CW_416011_flow_level,416011,Reedy Creek Water Source,SF1_P,2011,2011-11-14,2011-11-24,11,11,NSW,NSW Border Rivers,
CW_416011_flow_level,416011,Reedy Creek Water Source,SF1_P,2011,2012-01-28,2012-03-01,34,34,NSW,NSW Border Rivers,
CW_416011_flow_level,416011,Reedy Creek Water Source,SF1_P,2012,2012-12-13,2012-12-25,13,13,NSW,NSW Border Rivers,
CW_416011_flow_level,416011,Reedy Creek Water Source,SF1_P,2012,2013-01-06,2013-01-17,12,12,NSW,NSW Border Rivers,
CW_416011_flow_level,416011,Reedy Creek Water Source,SF1_P,2012,2013-01-28,2013-02-17,21,21,NSW,NSW Border Rivers,
CW_416011_flow_level,416011,Reedy Creek Water Source,SF1_P,2012,2013-02-24,2013-03-30,35,35,NSW,NSW Border Rivers,
CW_416011_flow_level,416011,Reedy Creek Water Source,SF1_P,2012,2013-04-01,2013-04-19,19,19,NSW,NSW Border Rivers,
CW_416011_flow_level,416011,Reedy Creek Water Source,SF1_P,2013,2013-11-09,2013-11-24,16,16,NSW,NSW Border Rivers,
CW_416011_flow_level,416011,Reedy Creek Water Source,SF1_P,2013,2014-01-02,2014-01-19,18,18,NSW,NSW Border Rivers,
CW_416011_flow_level,416011,Reedy Creek Water Source,SF1_P,2013,2014-02-10,2014-02-19,10,10,NSW,NSW Border Rivers,
CW_416011_flow_level,416011,Reedy Creek Water Source,SF1_P,2013,2014-03-29,2014-04-09,12,12,NSW,NSW Border Rivers,
CW_416011_flow_level,416011,Reedy Creek Water Source,SF1_P,2014,2014-12-12,2014-12-21,10,10,NSW,NSW Border Rivers,
CW_416011_flow_level,416011,Reedy Creek Water Source,SF1_P,2014,2014-12-27,2015-01-11,16,16,NSW,NSW Border Rivers,
CW_416011_flow_level,416011,Reedy Creek Water Source,SF1_P,2015,2016-01-30,2016-02-10,12,12,NSW,NSW Border Rivers,
CW_416011_flow_level,416011,Reedy Creek Water Source,SF1_P,2016,2016-10-01,2016-11-06,37,37,NSW,NSW Border Rivers,
CW_416011_flow_level,416011,Reedy Creek Water Source,SF1_P,2016,2016-12-06,2016-12-23,18,18,NSW,NSW Border Rivers,
CW_416011_flow_level,416011,Reedy Creek Water Source,SF1_P,2016,2017-03-19,2017-04-30,43,43,NSW,NSW Border Rivers,
CW_416011_flow_level,416011,Reedy Creek Water Source,SF1_P,2017,2018-01-20,2018-02-02,14,14,NSW,NSW Border Rivers,
CW_416011_flow_level,416011,Reedy Creek Water Source,SF1_P,2017,2018-02-09,2018-02-28,20,20,NSW,NSW Border Rivers,
CW_416011_flow_level,416011,Reedy Creek Water Source,SF1_P,2019,2020-02-11,2020-03-01,20,20,NSW,NSW Border Rivers,
CW_416011_flow_level,416011,Reedy Creek Water Source,SF1_P,2020,2021-03-10,2021-04-30,52,52,NSW,NSW Border Rivers,
CW_416011_flow_level,416011,Reedy Creek Water Source,SF1_P,2021,2021-10-14,2021-10-24,11,11,NSW,NSW Border Rivers,
CW_416011_flow_level,416011,Reedy Creek Water Source,SF1_P,2021,2021-10-31,2022-01-15,77,77,NSW,NSW Border Rivers,
CW_416011_flow_level,416011,Reedy Creek Water Source,SF1_P,2021,2022-01-17,2022-02-23,38,38,NSW,NSW Border Rivers,
