scenario,gauge,pu,State,SWSDLName,ewr,startDate,endDate,interEventLength
NCCMA_flow,407224,Loddon River: Mid Loddon River System at Reach 4a,VIC,Loddon,BF2_P,2023-06-04,2023-06-08,5
NCCMA_flow,407224,Loddon River: Mid Loddon River System at Reach 4a,VIC,Loddon,BF2_P,2023-06-13,2023-06-23,11
NCCMA_flow,407224,Loddon River: Mid Loddon River System at Reach 4a,VIC,Loddon,BF2_P,2023-11-28,2023-11-28,1
NCCMA_flow,407224,Loddon River: Mid Loddon River System at Reach 4a,VIC,Loddon,BF2_P,2023-12-01,2024-06-30,213
NCCMA_flow,407224,Loddon River: Mid Loddon River System at Reach 4a,VIC,Loddon,BF2_S,2014-11-03,2015-05-31,210
NCCMA_flow,407224,Loddon River: Mid Loddon River System at Reach 4a,VIC,Loddon,BF2_S,2015-06-04,2015-06-16,13
NCCMA_flow,407224,Loddon River: Mid Loddon River System at Reach 4a,VIC,Loddon,BF2_S,2015-11-04,2016-06-03,213
NCCMA_flow,407224,Loddon River: Mid Loddon River System at Reach 4a,VIC,Loddon,BF2_S,2016-06-07,2016-08-05,60
NCCMA_flow,407224,Loddon River: Mid Loddon River System at Reach 4a,VIC,Loddon,BF2_S,2016-11-03,2016-11-03,1
NCCMA_flow,407224,Loddon River: Mid Loddon River System at Reach 4a,VIC,Loddon,BF2_S,2016-11-05,2016-11-10,6
NCCMA_flow,407224,Loddon River: Mid Loddon River System at Reach 4a,VIC,Loddon,BF2_S,2016-12-01,2017-05-31,182
NCCMA_flow,407224,Loddon River: Mid Loddon River System at Reach 4a,VIC,Loddon,BF2_S,2017-12-01,2018-05-31,182
NCCMA_flow,407224,Loddon River: Mid Loddon River System at Reach 4a,VIC,Loddon,BF2_S,2018-11-02,2018-11-03,2
NCCMA_flow,407224,Loddon River: Mid Loddon River System at Reach 4a,VIC,Loddon,BF2_S,2018-11-08,2018-11-08,1
NCCMA_flow,407224,Loddon River: Mid Loddon River System at Reach 4a,VIC,Loddon,BF2_S,2018-11-10,2018-11-10,1
NCCMA_flow,407224,Loddon River: Mid Loddon River System at Reach 4a,VIC,Loddon,BF2_S,2018-11-13,2019-05-31,200
NCCMA_flow,407224,Loddon River: Mid Loddon River System at Reach 4a,VIC,Loddon,BF2_S,2019-06-05,2019-06-14,10
NCCMA_flow,407224,Loddon River: Mid Loddon River System at Reach 4a,VIC,Loddon,BF2_S,2019-06-18,2019-06-28,11
NCCMA_flow,407224,Loddon River: Mid Loddon River System at Reach 4a,VIC,Loddon,BF2_S,2019-11-26,2019-11-27,2
NCCMA_flow,407224,Loddon River: Mid Loddon River System at Reach 4a,VIC,Loddon,BF2_S,2019-12-01,2020-05-31,183
NCCMA_flow,407224,Loddon River: Mid Loddon River System at Reach 4a,VIC,Loddon,BF2_S,2020-11-05,2020-11-05,1
NCCMA_flow,407224,Loddon River: Mid Loddon River System at Reach 4a,VIC,Loddon,BF2_S,2020-12-01,2021-05-31,182
NCCMA_flow,407224,Loddon River: Mid Loddon River System at Reach 4a,VIC,Loddon,BF2_S,2021-12-01,2022-05-31,182
NCCMA_flow,407224,Loddon River: Mid Loddon River System at Reach 4a,VIC,Loddon,BF2_S,2022-12-01,2023-05-31,182
NCCMA_flow,407224,Loddon River: Mid Loddon River System at Reach 4a,VIC,Loddon,BF2_S,2023-12-01,2024-05-31,183
NCCMA_flow,407224,Loddon River: Mid Loddon River System at Reach 4a,VIC,Loddon,F1_P_pd,2014-07-01,2016-12-21,905
NCCMA_flow,407224,Loddon River: Mid Loddon River System at Reach 4a,VIC,Loddon,F1_P_pd,2016-12-26,2017-01-13,19
NCCMA_flow,407224,Loddon River: Mid Loddon River System at Reach 4a,VIC,Loddon,F1_P_pd,2017-01-18,2017-02-22,36
