scenario,gauge,pu,State,SWSDLName,ewr,waterYear,startDate,endDate,eventDuration,eventLength,Multigauge
NCCMA_flow,407224,Loddon River: Mid Loddon River System at Reach 4a,VIC,Loddon,BF2_P,2020,2020-09-25,2020-09-26,2,2,
NCCMA_flow,407224,Loddon River: Mid Loddon River System at Reach 4a,VIC,Loddon,BF2_P,2020,2020-09-29,2020-10-21,23,23,
NCCMA_flow,407224,Loddon River: Mid Loddon River System at Reach 4a,VIC,Loddon,BF2_P,2021,2021-06-03,2021-06-13,11,11,
NCCMA_flow,407224,Loddon River: Mid Loddon River System at Reach 4a,VIC,Loddon,BF2_P,2021,2021-06-16,2021-07-05,20,20,
NCCMA_flow,407224,Loddon River: Mid Loddon River System at Reach 4a,VIC,Loddon,BF2_P,2021,2021-08-09,2021-08-15,7,7,
NCCMA_flow,407224,Loddon River: Mid Loddon River System at Reach 4a,VIC,Loddon,BF2_P,2021,2021-08-17,2021-08-25,9,9,
NCCMA_flow,407224,Loddon River: Mid Loddon River System at Reach 4a,VIC,Loddon,BF2_P,2021,2021-09-11,2021-09-11,1,1,
NCCMA_flow,407224,Loddon River: Mid Loddon River System at Reach 4a,VIC,Loddon,BF2_P,2021,2021-09-13,2021-09-13,1,1,
NCCMA_flow,407224,Loddon River: Mid Loddon River System at Reach 4a,VIC,Loddon,BF2_P,2021,2021-09-19,2021-09-22,4,4,
NCCMA_flow,407224,Loddon River: Mid Loddon River System at Reach 4a,VIC,Loddon,BF2_P,2021,2021-09-27,2021-10-18,22,22,
NCCMA_flow,407224,Loddon River: Mid Loddon River System at Reach 4a,VIC,Loddon,BF2_P,2021,2021-11-04,2021-11-08,5,5,
NCCMA_flow,407224,Loddon River: Mid Loddon River System at Reach 4a,VIC,Loddon,BF2_P,2022,2022-07-02,2022-07-12,11,11,
NCCMA_flow,407224,Loddon River: Mid Loddon River System at Reach 4a,VIC,Loddon,BF2_P,2022,2022-07-19,2022-07-21,3,3,
NCCMA_flow,407224,Loddon River: Mid Loddon River System at Reach 4a,VIC,Loddon,BF2_P,2022,2022-07-25,2022-11-30,129,129,
NCCMA_flow,407224,Loddon River: Mid Loddon River System at Reach 4a,VIC,Loddon,BF2_P,2023,2023-06-01,2023-06-03,3,3,
NCCMA_flow,407224,Loddon River: Mid Loddon River System at Reach 4a,VIC,Loddon,BF2_P,2023,2023-06-09,2023-06-12,4,4,
NCCMA_flow,407224,Loddon River: Mid Loddon River System at Reach 4a,VIC,Loddon,BF2_P,2023,2023-06-24,2023-11-27,157,157,
NCCMA_flow,407224,Loddon River: Mid Loddon River System at Reach 4a,VIC,Loddon,BF2_P,2023,2023-11-29,2023-11-30,2,2,
NCCMA_flow,407224,Loddon River: Mid Loddon River System at Reach 4a,VIC,Loddon,BF2_S,2014,2014-07-01,2014-11-02,125,125,
NCCMA_flow,407224,Loddon River: Mid Loddon River System at Reach 4a,VIC,Loddon,BF2_S,2015,2015-06-01,2015-06-03,3,3,
NCCMA_flow,407224,Loddon River: Mid Loddon River System at Reach 4a,VIC,Loddon,BF2_S,2015,2015-06-17,2015-11-03,140,140,
NCCMA_flow,407224,Loddon River: Mid Loddon River System at Reach 4a,VIC,Loddon,BF2_S,2016,2016-06-04,2016-06-06,3,3,
NCCMA_flow,407224,Loddon River: Mid Loddon River System at Reach 4a,VIC,Loddon,BF2_S,2016,2016-08-06,2016-11-02,89,89,
NCCMA_flow,407224,Loddon River: Mid Loddon River System at Reach 4a,VIC,Loddon,BF2_S,2016,2016-11-04,2016-11-04,1,1,
NCCMA_flow,407224,Loddon River: Mid Loddon River System at Reach 4a,VIC,Loddon,BF2_S,2016,2016-11-11,2016-11-30,20,20,
NCCMA_flow,407224,Loddon River: Mid Loddon River System at Reach 4a,VIC,Loddon,BF2_S,2017,2017-06-01,2017-11-30,183,183,
NCCMA_flow,407224,Loddon River: Mid Loddon River System at Reach 4a,VIC,Loddon,BF2_S,2018,2018-06-01,2018-11-01,154,154,
NCCMA_flow,407224,Loddon River: Mid Loddon River System at Reach 4a,VIC,Loddon,BF2_S,2018,2018-11-04,2018-11-07,4,4,
NCCMA_flow,407224,Loddon River: Mid Loddon River System at Reach 4a,VIC,Loddon,BF2_S,2018,2018-11-09,2018-11-09,1,1,
NCCMA_flow,407224,Loddon River: Mid Loddon River System at Reach 4a,VIC,Loddon,BF2_S,2018,2018-11-11,2018-11-12,2,2,
NCCMA_flow,407224,Loddon River: Mid Loddon River System at Reach 4a,VIC,Loddon,BF2_S,2019,2019-06-01,2019-06-04,4,4,
NCCMA_flow,407224,Loddon River: Mid Loddon River System at Reach 4a,VIC,Loddon,BF2_S,2019,2019-06-15,2019-06-17,3,3,
NCCMA_flow,407224,Loddon River: Mid Loddon River System at Reach 4a,VIC,Loddon,BF2_S,2019,2019-06-29,2019-11-25,150,150,
NCCMA_flow,407224,Loddon River: Mid Loddon River System at Reach 4a,VIC,Loddon,BF2_S,2019,2019-11-28,2019-11-30,3,3,
